tract,cbsa,other_1,other_2,other_3,other_4,other_5,other_6,other_7
51059460100,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059460200,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059460300,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059460400,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059460501,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059460503,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059460504,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059460600,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059460701,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059460702,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059460800,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059460900,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059461000,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059461100,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059461201,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059461202,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059461500,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059461603,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059461604,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059461605,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059461606,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059461700,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059461801,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059461802,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059461901,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059461902,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059470100,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059470300,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059470400,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059470500,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059470600,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059470700,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059470800,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059470900,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059471000,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059471100,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059471201,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059471203,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059471204,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059471301,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059471303,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059471304,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059471401,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059471402,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480100,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480201,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480203,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480204,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480205,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480301,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480302,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480401,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480402,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480501,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480502,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480503,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480504,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480505,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480801,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480802,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480901,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480902,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059480903,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059481000,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059481101,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059481102,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059481103,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059481104,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059481105,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059481106,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059481201,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059481202,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059481400,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059481500,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059481600,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059481701,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059481702,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059481900,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482001,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482002,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482100,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482201,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482203,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482204,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482205,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482206,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482301,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482302,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482303,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482400,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482502,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482503,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482504,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482505,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482506,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482507,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482601,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482603,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059482604,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059490101,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059490104,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059490105,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059490501,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059490502,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491000,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491101,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491102,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491103,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491201,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491202,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491301,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491302,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491303,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491401,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491402,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491403,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491404,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491405,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491501,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491502,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491601,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491602,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491701,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491703,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491704,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491705,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491706,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491707,,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491801,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491802,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059491803,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059492000,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059492100,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059492201,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059492202,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059492203,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059492300,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059492400,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059492500,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059980100,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059980200,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81
51059980300,Washington-Arlington-Alexandria DC--MD-WV,242.99,416.13,530.49,676.2,806.25,962.23,1093.81